1,1,3,4
1,1,3,4
1,2,3,4
1,1,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,1,3,4
1,2,3,4
1,1,3,4
1,2,3,4
1,1,3,4
1,1,3,4
1,1,3,4
1,2,3,4
1,2,4,4
1,1,3,4
1,2,3,4
1,1,3,4
1,1,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,4,4
1,1,3,4
1,1,3,4
1,2,3,4
1,2,3,4
1,1,3,4
1,2,3,4
1,2,4,4
1,2,3,4
1,2,3,4
1,2,4,4
1,1,3,4
1,2,3,4
1,2,4,4
1,2,4,4
1,2,4,4
1,1,3,4
1,2,3,4
1,2,4,4
1,2,3,4
1,2,4,4
1,1,3,4
1,1,3,4
1,2,4,4
1,1,3,4
1,2,4,4
1,2,3,4
1,1,3,4
1,2,3,4
1,2,4,4
1,2,3,4
1,2,4,4
1,2,3,4
1,2,4,4
1,1,3,4
1,2,3,4
1,2,3,4
1,2,4,4
1,2,3,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,4,4
1,2,3,4
1,2,3,4
1,2,4,4
1,1,3,4
1,2,3,4
1,1,3,4
1,2,4,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,4,4
1,2,4,4
1,1,3,4
1,1,3,4
1,1,3,4
1,2,4,4
1,2,4,4
1,2,3,4
1,1,3,4
1,2,3,4
1,1,3,4
1,2,3,4
1,1,3,4
1,2,4,4
1,1,3,4
1,2,3,4
1,2,3,4
