date,CNP16OV
1996-03-31,199776.0
1996-06-30,200279.0
1996-09-30,200850.0
1996-12-31,201457.0
1997-03-31,202396.0
1997-06-30,202835.0
1997-09-30,203367.0
1997-12-31,203935.0
1998-03-31,204395.0
1998-06-30,204905.0
1998-09-30,205483.0
1998-12-31,206098.0
1999-03-31,206876.0
1999-06-30,207432.0
1999-09-30,208044.0
1999-12-31,208660.0
2000-03-31,211586.0
2000-06-30,212242.0
2000-09-30,212919.0
2000-12-31,213560.0
2001-03-31,214101.0
2001-06-30,214736.0
2001-09-30,215422.0
2001-12-31,216112.0
2002-03-31,216664.0
2002-06-30,217204.0
2002-09-30,217868.0
2002-12-31,218543.0
2003-03-31,220109.0
2003-06-30,220774.0
2003-09-30,221513.0
2003-12-31,222276.0
2004-03-31,222356.0
2004-06-30,222973.0
2004-09-30,223680.0
2004-12-31,224418.0
2005-03-31,225038.0
2005-06-30,225674.0
2005-09-30,226422.0
2005-12-31,227196.0
2006-03-31,227764.0
2006-06-30,228433.0
2006-09-30,229166.0
2006-12-31,229896.0
2007-03-31,230839.0
2007-06-30,231482.0
2007-09-30,232210.0
2007-12-31,232937.0
2008-03-31,232807.0
2008-06-30,233410.0
2008-09-30,234110.0
2008-12-31,234825.0
2009-03-31,234913.0
2009-06-30,235459.0
2009-09-30,236093.0
2009-12-31,236739.0
2010-03-31,236996.0
2010-06-30,237506.0
2010-09-30,238104.0
2010-12-31,238711.0
2011-03-31,238852.0
2011-06-30,239316.0
2011-09-30,239871.0
2011-12-31,240431.0
2012-03-31,242436.0
2012-06-30,242968.0
2012-09-30,243564.0
2012-12-31,244169.0
2013-03-31,244829.0
2013-06-30,245363.0
2013-09-30,245961.0
2013-12-31,246564.0
2014-03-31,247086.0
2014-06-30,247625.0
2014-09-30,248233.0
2014-12-31,248843.0
2015-03-31,249901.0
2015-06-30,250461.0
2015-09-30,251099.0
2015-12-31,251741.0
2016-03-31,252581.0
2016-06-30,253180.0
2016-09-30,253855.0
2016-12-31,254534.0
2017-03-31,254247.0
2017-06-30,254771.0
2017-09-30,255357.0
2017-12-31,255941.0
2018-03-31,256937.0
2018-06-30,257456.0
2018-09-30,258066.0
2018-12-31,258703.0
